,Country(click to view weekend breakdown),Dist.,ReleaseDate,OpeningWknd,% ofTotal,Total_Gross,Total_Gross_date,UsDist,UsRelease,Genre,Runtime,MpaaRating,ProdBudget
0,Argentina,Disney,5/5/16,"$3,555,979",39.5%,"$9,005,829",7/3/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
1,Australia,Disney,4/28/16,"$10,622,362",42.2%,"$25,199,942",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
2,Austria,Disney,1/1/01,-,-,"$2,841,356",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
3,Belgium,Disney,4/27/16,-,-,"$2,484,111",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
4,Brazil,Disney,4/28/16,"$11,984,952",29.6%,"$40,521,418",7/3/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
5,Bulgaria,Forum Films,4/29/16,"$185,804",36%,"$516,255",6/19/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
6,China,Disney,5/6/16,"$93,640,448",49.2%,"$190,429,000",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
7,Czech Republic,Falcon,5/5/16,"$584,798",40.1%,"$1,459,184",6/19/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
8,Denmark,Disney,4/28/16,-,-,"$3,078,912",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
9,Finland,Disney,4/27/16,"$235,310",16.5%,"$1,427,013",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
10,France,Disney,4/27/16,"$9,414,467",40.6%,"$23,204,975",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
11,Germany,Disney,4/28/16,-,-,"$21,754,449",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
12,Hong Kong,Disney,4/27/16,-,-,"$15,472,829",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
13,Iceland,Samfilm,4/29/16,"$119,469",35.4%,"$337,237",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
14,India,-,N/A,-,-,"$12,094,000",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
15,Italy,Disney,5/4/16,"$5,404,759",41.8%,"$12,942,297",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
16,Japan,Disney,4/29/16,"$4,222,504",17.3%,"$24,366,759",7/3/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
17,Lithuania,Disney,5/6/16,"$57,126",41.7%,"$136,836",6/5/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
18,Malaysia,-,4/28/16,-,-,"$10,685,000",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
19,Mexico,Disney,4/29/16,"$20,472,106",49.4%,"$41,420,350",7/3/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
20,Netherlands,Disney,4/28/16,"$1,661,826",37.9%,"$4,388,326",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
21,New Zealand,Disney,5/5/16,"$1,426,902",41%,"$3,480,235",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
22,Norway,Disney,4/27/16,"$854,440",33.9%,"$2,518,528",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
23,Philippines,-,4/27/16,-,-,"$14,195,000",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
24,Poland,Disney,5/6/16,"$893,695",33.2%,"$2,691,473",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
25,Portugal,Disney,4/28/16,"$453,864",29.7%,"$1,528,426",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
26,Romania,Forum Films,5/6/16,"$495,254",42.6%,"$1,162,072",6/19/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
27,Russia - CIS,Disney,5/5/16,"$9,432,929",57%,"$16,555,859",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
28,Singapore,Disney,4/28/16,-,-,"$8,396,857",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
29,Slovakia,Saturn,5/5/16,"$225,887",46.4%,"$486,912",6/19/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
30,Slovenia,2i Film,5/6/16,"$48,960",46.7%,"$104,910",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
31,South Africa,Ster Kinekor,4/29/16,"$1,053,420",49.4%,"$2,132,347",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
32,South Korea,Disney,4/27/16,"$21,044,001",33.5%,"$62,859,896",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
33,Spain,Disney,4/29/16,"$4,254,431",37.5%,"$11,345,535",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
34,Sweden,Disney,4/27/16,-,-,"$3,600,887",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
35,Switzerland,Disney,4/27/16,-,-,"$3,020,845",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
36,Switzerland (French-speaking),Disney,4/27/16,"$291,680",38.8%,"$752,167",5/22/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
37,Switzerland (German-speaking),Disney,4/27/16,"$691,331",38.5%,"$1,793,551",5/29/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
38,Taiwan,Disney,4/27/16,-,-,"$16,397,475",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
39,Thailand,Disney,4/27/16,"$3,761,449",31.5%,"$11,956,000",6/12/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
40,Turkey,UIP,5/6/16,"$2,133,429",42.2%,"$5,051,436",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
41,Ukraine,Disney,5/5/16,"$772,905",54.1%,"$1,429,130",6/5/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
42,United Arab Emirates,Disney,5/5/16,"$3,268,977",54.9%,"$5,954,891",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
43,United Kingdom,Disney,4/29/16,"$21,146,409",39.3%,"$53,776,688",7/10/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
44,Venezuela,Disney,N/A,-,-,"$1,947,286",6/26/16,Buena Vista,"May 6, 2016",Action / Adventure,2 hrs. 27 min.,PG-13,$250 million
